progeny	sire	dam	progeny_fam_ID	sire_fam_ID	dam_fam_ID
2632	1932	648	1503	989	784
2633	321	2140	2318	NA	2020
2634	1671	275	1716	92	NA
2635	551	2265	711	2446	1951
2636	0	1708	NA	NA	NA
2637	626	1988	NA	NA	354
2638	610	1899	NA	833	651
2639	467	558	1784	NA	971
2640	425	684	1494	NA	1669
2641	560	2557	1457	691	959
2642	685	2511	1863	1366	2306
2643	2528	2162	1463	1013	1377
2644	799	486	2006	2496	998
2645	2349	881	2077	NA	1490
2646	895	2508	816	2281	1740
2647	2349	881	2380	NA	1490
2648	2469	716	2312	1039	1244
2649	2349	881	2055	NA	1490
2650	735	2444	845	2150	1371
2651	2479	492	1485	776	219
2652	2479	492	1699	776	219
2653	2014	615	750	1213	1342
2654	1776	492	817	1309	219
2655	2548	570	2451	2207	2213
2656	735	2197	2390	2150	1668
2657	735	555	763	2150	1980
2658	2014	615	756	1213	1342
2659	868	2439	1989	2066	1356
2660	2350	556	1840	NA	953
2661	2109	2197	2378	1113	1668
2662	0	2526	1851	NA	2243
2663	791	718	1812	2282	2273
2664	762	555	704	1423	1980
2665	756	731	1868	1501	815
2666	0	719	1512	NA	977
2667	599	2380	1839	1147	751
2668	744	1764	1864	746	NA
2669	509	494	1757	2468	724
2670	904	653	1528	754	1670
2671	0	893	1805	NA	1349
2672	2460	2533	538	2294	1021
2673	2489	569	1484	NA	834
2674	565	2525	2314	626	1702
2675	798	795	830	1285	1060
2676	2489	569	1739	NA	834
2677	2412	2564	2085	NA	703
2678	321	2140	2447	NA	2020
2679	560	1841	1801	691	995
2680	2497	2510	1837	818	1714
2681	327	734	1806	NA	1819
2682	1776	608	1506	1309	1620
2683	599	2380	2444	1147	751
2684	2240	584	1766	1394	2060
2685	574	589	1717	1407	821
2686	873	694	789	1380	853
2687	651	654	1751	1006	807
2688	895	2508	1831	2281	1740
2689	2052	2413	NA	524	2474
2690	2482	553	742	1036	2247
2691	327	734	1821	NA	1819
2692	546	544	1992	NA	809
2693	466	2396	1826	NA	1573
2694	840	1899	2229	819	651
2695	2482	553	1777	1036	2247
2696	839	842	812	1336	1290
2697	508	2035	NA	1205	1080
2698	2497	2510	1525	818	1714
2699	2498	2472	1723	790	NA
2700	762	555	2387	1423	1980
2701	559	568	1453	633	1034
2702	837	2478	1983	2239	NA
2703	385	899	1507	NA	1363
2704	2492	2487	2376	NA	NA
2705	873	694	1473	1380	853
2706	490	2122	2327	1276	1262
2707	2240	584	1741	1394	2060
2708	552	229	1450	994	NA
2709	490	2122	2331	1276	1262
